capital = 703 #Krakow
primary_culture = polish
culture = lithuanian
religion = catholic
government = hms_government
plurality = 0.5
nationalvalue = nv_equality
literacy = 0.5
civilized = yes
is_releasable_vassal = no

# New reforms added
# Political reforms
slavery = no_slavery
upper_house_composition = appointed
vote_franschise = wealth_weighted_voting
public_meetings = yes_meeting
press_rights = censored_press
trade_unions = non_socialist
voting_system = first_past_the_post
political_parties = gerrymandering
immigration_reform = limited_immigration
conscription = volunteer_army
minorities_policy = de_facto
debt_law = peonage
trial_law = tribunals

# Social Reforms
wage_reform = trinket_wage
work_hours = no_work_hour_limit
safety_regulations = no_safety
health_care = trinket_health_care
unemployment_subsidies = trinket_subsidies
pensions = trinket_pensions 
school_reforms = low_schools
pollution = no_controls
child_labor = child_labor_legal
patent_law = no_patents
penal_system = incarceration
arts_endowment = no_endowment

ruling_party = PLC_conservative
upper_house = {
	fascist = 0
	liberal = 30
	conservative = 40
	reactionary = 25
	anarcho_liberal = 5
	socialist = 0
	communist = 0
}


