######################################################################;;;;;;;;;;;;;;x;;;;,,
# Factions modifiers;;;;;;;;;;;;;;x;;;;,,
######################################################################;;;;;;;;;;;;;;x;;;;,,
# TriggeredModifiers.txt;;;;;;;;;;;;;;x;;;;,,
grand_navy;Grand Navy;;;;;;;;;;;;;x;;;;,,
grand_army;Grand Army;;;;;;;;;;;;;x;;;;,,
large_nation;Large Nation;;;;;;;;;;;;;x;;;;,,
sprawling_empire;Sprawling Empire;;;;;;;;;;;;;x;;;;,,
undisciplined_mob;Undisciplined Mob;;;;;;;;;;;;;x;;;;,,
poorly_drilled;Poorly Drilled;;;;;;;;;;;;;x;;;;,,
well_drilled;Well Drilled;;;;;;;;;;;;;x;;;;,,
vassal_nation;Vassal Nation;;;;;;;;;;;;;x;;;;,,
# EventModifiers.txt;;;;;;;;;;;;;;x;;;;,,
axis_faction;Axis Faction;;;;;;;;;;;;x;;;;,,
axis_faction_desc;We are part of the Axis powers.;;;;;;;;;;;;x;;;;,,
allies_faction;Allied Faction;;;;;;;;;;;;x;;;;,,
allies_faction_desc;We are part of the Allied forces.;;;;;;;;;;;;x;;;;,,
comintern_faction;Comintern Faction;;;;;;;;;;;;x;;;;,,
comintern_faction_desc;We are part of the Communist International.;;;;;;;;;;;;x;;;;,,
forty_eighters;Forty-Eighters;;;;;;;;;;;;x;;;;,,
forty_eighters_desc;With the lack of change from the liberal revolutions of 1848, many of our citizens are dissatisfied with living under our rule, and so are emigrating en masse to America.;;;;;;;;;;;;x;;;;
rus_mil;Peace Land and Bread;;;;;;;;;;;;x;;;;,,
rus_mil_desc;Our people are tired of war and our soldiers do not want to fight anymore.;;;;;;;;;;;;x;;;;,,
